segments,segid,longi,lati,rgn
Canada5106,5106,-122.645,75.918,CAN
Canada5115,5115,-121.031,75.891,CAN
Canada5120,5120,-116.799,77.534,CAN
Canada5132,5132,-118.191,75.968,CAN
Canada5166,5166,-115.022,74.963,CAN
Canada5167,5167,-114.982,75.853,CAN
Canada5202,5202,-115.077,77.939,CAN
Canada5168,5168,-112.533,74.995,CAN
Canada5169,5169,-112.433,76.163,CAN
Canada5171,5171,-111.468,75.838,CAN
Canada5172,5172,-110.497,75.569,CAN
Canada5173,5173,-109.424,75.518,CAN
Canada5175,5175,-109.938,75.857,CAN
Canada5177,5177,-110.052,75.893,CAN
Canada5178,5178,-108.458,76.735,CAN
Canada5179,5179,-110.388,76.36,CAN
Canada5180,5180,-109.381,76.128,CAN
Canada5181,5181,-109.938,75.924,CAN
Canada5203,5203,-114.238,78.047,CAN
Canada5204,5204,-113.605,77.835,CAN
Canada5218,5218,-114.262,76.88,CAN
Canada5221,5221,-113.817,77.152,CAN
Canada5265,5265,-110.104,77.548,CAN
Canada5266,5266,-112.483,77.991,CAN
Canada5267,5267,-109.583,78.039,CAN
Canada5268,5268,-110.781,78.306,CAN
Canada5269,5269,-112.593,78.501,CAN
Canada5270,5270,-109.263,78.452,CAN
Canada5170,5170,-108.036,74.929,CAN
Canada5353,5353,-100.031,80.098,CAN
Canada5174,5174,-106.895,75.922,CAN
Canada5176,5176,-109.274,75.77,CAN
Canada5527,5527,-82.193,62.981,CAN
Canada5691,5691,-79.752,62.4,CAN
Canada7437,7437,-67.92,60.537,CAN
Denmark7037,7037,-64.921,80.062,DNK
Denmark7038,7038,-67.485,80.3,DNK
Denmark7039,7039,-67.083,80.401,DNK
Denmark7040,7040,-66.77,80.52,DNK
Denmark7041,7041,-65.663,80.663,DNK
Denmark7042,7042,-65.02,80.886,DNK
Denmark7348,7348,-66.759,80.607,DNK
Denmark7349,7349,-66.89,80.663,DNK
Denmark7350,7350,-66.609,80.64,DNK
Denmark7043,7043,-64.784,80.905,DNK
Denmark7044,7044,-64.786,80.983,DNK
Denmark7045,7045,-63.019,80.88,DNK
Denmark7046,7046,-61.247,81.121,DNK
Denmark7047,7047,-59.765,81.913,DNK
Denmark7053,7053,-57.408,82.17,DNK
Denmark7054,7054,-53.537,82.057,DNK
Denmark7055,7055,-51.164,81.857,DNK
Denmark7056,7056,-50.208,81.904,DNK
Denmark7057,7057,-49.942,81.88,DNK
Denmark7106,7106,-50.053,82.029,DNK
Denmark7107,7107,-50.838,82.357,DNK
Denmark7108,7108,-49.782,82.513,DNK
Denmark7961,7961,-52.099,82.291,DNK
Denmark7964,7964,-52.953,82.326,DNK
Denmark7058,7058,-49.727,81.878,DNK
Denmark7105,7105,-49.682,81.882,DNK
Denmark7117,7117,-46.472,82.105,DNK
Denmark7118,7118,-44.958,81.773,DNK
Denmark7125,7125,-44.041,82.446,DNK
Denmark7126,7126,-45.396,82.781,DNK
Denmark7127,7127,-44.854,82.772,DNK
Denmark7135,7135,-43.468,82.912,DNK
Denmark8017,8017,-48.793,82.557,DNK
Denmark8018,8018,-48.036,82.466,DNK
Denmark8019,8019,-48.119,82.407,DNK
Denmark8022,8022,-48.089,82.886,DNK
Denmark8080,8080,-47.134,82.931,DNK
Denmark8101,8101,-46.814,82.671,DNK
Denmark7119,7119,-44.708,81.759,DNK
Denmark7120,7120,-44.476,81.787,DNK
Denmark7121,7121,-44.736,82.232,DNK
Denmark7128,7128,-44.292,82.764,DNK
Denmark7129,7129,-42.85,82.778,DNK
Denmark7130,7130,-41.822,82.526,DNK
Denmark7131,7131,-40.969,82.651,DNK
Denmark7132,7132,-40.01,82.564,DNK
Denmark7133,7133,-39.891,82.655,DNK
Denmark7134,7134,-40.083,82.707,DNK
Denmark8124,8124,-42.234,83.272,DNK
Denmark8136,8136,-41.681,83.312,DNK
Denmark8137,8137,-41.233,83.304,DNK
Denmark8138,8138,-41.246,83.288,DNK
Denmark8139,8139,-41.448,83.242,DNK
Denmark8160,8160,-41.463,83.165,DNK
Denmark8168,8168,-40.215,83.168,DNK
Denmark8188,8188,-40.487,83.358,DNK
Denmark7136,7136,-39.394,82.948,DNK
Denmark7137,7137,-38.967,82.837,DNK
Denmark7139,7139,-37.817,83.122,DNK
Denmark7140,7140,-37.417,83.482,DNK
Denmark7141,7141,-31.878,83.596,DNK
Denmark7143,7143,-32.019,83.052,DNK
Denmark7148,7148,-30.477,83.078,DNK
Denmark8176,8176,-39.489,83.378,DNK
Denmark8189,8189,-38.31,83.174,DNK
Denmark7150,7150,-25.742,82.149,DNK
Denmark7151,7151,-32.498,81.707,DNK
Denmark7152,7152,-32.416,81.733,DNK
Denmark7153,7153,-32.229,81.76,DNK
Denmark7154,7154,-32.056,81.783,DNK
Denmark7155,7155,-31.973,81.793,DNK
Denmark7156,7156,-30.521,81.889,DNK
Denmark7142,7142,-25.654,83.29,DNK
Denmark7157,7157,-29.36,81.961,DNK
Denmark7158,7158,-26.685,82.014,DNK
Denmark7163,7163,-27.267,81.384,DNK
