"segments","segid","lon","lat","rgn","fpGIS_loc","fpAIS_loc","fpGSIC_loc","fpTE_loc","fpLWS_loc"
"Albania489",489,19.447,41.859,"ALB",0.62160933,1.0535169,0.8676772,1.0,1.0
"Albania490",490,19.574,41.816,"ALB",0.62160933,1.0535169,0.8676772,1.0,1.0
"Albania491",491,19.589,41.73,"ALB",0.62160933,1.0535169,0.8676772,1.0,1.0
"Albania492",492,19.587,41.633,"ALB",0.62160933,1.0535169,0.8676772,1.0,1.0
"Albania493",493,19.525,41.572,"ALB",0.62160933,1.0535169,0.8676772,1.0,1.0
"Albania494",494,19.564,41.584,"ALB",0.62160933,1.0535169,0.8676772,1.0,1.0
"Albania495",495,19.443,41.406,"ALB",0.62160933,1.0535169,0.8676772,1.0,1.0
"Albania496",496,19.486,41.167,"ALB",0.62160933,1.0535169,0.8676772,1.0,1.0
"Albania497",497,19.44,41.03,"ALB",0.62160933,1.0535169,0.8676772,1.0,1.0
"Albania498",498,19.454,41.011,"ALB",0.62160933,1.0535169,0.8676772,1.0,1.0
"Albania499",499,19.523,40.928,"ALB",0.6377738,1.0564399,0.8740575,1.0,1.0
"Albania500",500,19.384,40.767,"ALB",0.6377738,1.0564399,0.8740575,1.0,1.0
"Albania501",501,19.457,40.551,"ALB",0.6377738,1.0564399,0.8740575,1.0,1.0
"Albania502",502,19.298,40.427,"ALB",0.6377738,1.0564399,0.8740575,1.0,1.0
"Albania503",503,19.646,40.137,"ALB",0.6377738,1.0564399,0.8740575,1.0,1.0
"Albania504",504,19.976,39.883,"ALB",0.6546537,1.0559781,0.8767951,1.0,1.0
"Algeria867",867,8.507,36.921,"DZA",0.6357332,1.0690787,0.8968143,1.0,1.0
"Algeria868",868,7.825,36.858,"DZA",0.6301904,1.0688033,0.8972273,1.0,1.0
"Algeria869",869,8.114,36.902,"DZA",0.6357332,1.0690787,0.8968143,1.0,1.0
"Algeria870",870,7.794,36.869,"DZA",0.6301904,1.0688033,0.8972273,1.0,1.0
"Algeria871",871,7.419,37.052,"DZA",0.6301767,1.068811,0.89675903,1.0,1.0
"Algeria872",872,7.703,36.969,"DZA",0.6301904,1.0688033,0.8972273,1.0,1.0
"Algeria873",873,7.2,37.06,"DZA",0.6301767,1.068811,0.89675903,1.0,1.0
"Algeria874",874,6.959,36.885,"DZA",0.6250148,1.0690694,0.8986009,1.0,1.0
"Algeria875",875,6.417,37.087,"DZA",0.6249076,1.0689077,0.8989524,1.0,1.0
"Algeria876",876,5.813,36.814,"DZA",0.6201416,1.0697945,0.9003994,1.0,1.0
"Algeria877",877,4.635,36.886,"DZA",0.6154321,1.0707488,0.9023297,1.0,1.0
"Algeria878",878,5.09,36.776,"DZA",0.6201416,1.0697945,0.9003994,1.0,1.0
"Algeria879",879,4.3,36.904,"DZA",0.6154321,1.0707488,0.9023297,1.0,1.0
"Algeria880",880,3.761,36.892,"DZA",0.6107371,1.071665,0.9037135,1.0,1.0
"Algeria881",881,3.253,36.78,"DZA",0.6107371,1.071665,0.9037135,1.0,1.0
"Algeria882",882,3.44,36.769,"DZA",0.6107371,1.071665,0.9037135,1.0,1.0
"Algeria883",883,3.136,36.739,"DZA",0.6107371,1.071665,0.9037135,1.0,1.0
"Algeria884",884,3.003,36.808,"DZA",0.6107371,1.071665,0.9037135,1.0,1.0
"Algeria885",885,3.068,36.777,"DZA",0.6107371,1.071665,0.9037135,1.0,1.0
"Algeria886",886,2.865,36.755,"DZA",0.6062879,1.0729237,0.90435743,1.0,1.0
"Algeria887",887,2.599,36.595,"DZA",0.6062879,1.0729237,0.90435743,1.0,1.0
"Algeria888",888,2.073,36.572,"DZA",0.6062879,1.0729237,0.90435743,1.0,1.0
"Algeria889",889,1.204,36.514,"DZA",0.604693,1.0729368,0.90554786,1.0,1.0
"Algeria890",890,0.462,36.232,"DZA",0.6123923,1.06802,0.9091658,1.0,1.0
"Algeria891",891,0.078,35.932,"DZA",0.61150503,1.0705605,0.9120009,1.0,1.0
"Algeria892",892,359.901,35.787,"DZA",0.61376655,1.0704374,0.912731,1.0,1.0
"Algeria893",893,359.882,35.784,"DZA",0.61376655,1.0704374,0.912731,1.0,1.0
"Algeria894",894,359.69,35.872,"DZA",0.61376655,1.0704374,0.912731,1.0,1.0
"Algeria895",895,359.396,35.727,"DZA",0.61376655,1.0704374,0.912731,1.0,1.0
"Algeria896",896,359.115,35.72,"DZA",0.61376655,1.0704374,0.912731,1.0,1.0
"Algeria897",897,358.877,35.609,"DZA",0.62196445,1.0684451,0.9121868,1.0,1.0
"Algeria898",898,358.958,35.672,"DZA",0.62196445,1.0684451,0.9121868,1.0,1.0
"Algeria899",899,358.746,35.421,"DZA",0.62196445,1.0684451,0.9121868,1.0,1.0
"Algeria900",900,358.644,35.32,"DZA",0.62196445,1.0684451,0.9121868,1.0,1.0
"Algeria901",901,358.419,35.246,"DZA",0.62196445,1.0684451,0.9121868,1.0,1.0
"Algeria902",902,358.005,35.073,"DZA",0.62196445,1.0684451,0.9121868,1.0,1.0
"Angola1206",1206,12.141,-5.249,"AGO",1.0647392,1.0624101,1.0711942,1.0,1.0
"Angola1207",1207,12.159,-5.591,"AGO",1.0647392,1.0624101,1.0711942,1.0,1.0
"Angola1208",1208,12.195,-5.741,"AGO",1.0647392,1.0624101,1.0711942,1.0,1.0
"Angola1211",1211,13.122,-5.892,"AGO",1.0625995,1.0548319,1.0659713,1.0,1.0
"Angola1212",1212,12.593,-6.035,"AGO",1.0625995,1.0548319,1.0659713,1.0,1.0
"Angola1213",1213,12.341,-6.224,"AGO",1.0625995,1.0548319,1.0659713,1.0,1.0
"Angola1214",1214,12.825,-6.978,"AGO",1.0625995,1.0548319,1.0659713,1.0,1.0
"Angola1215",1215,13.279,-8.196,"AGO",1.0808307,1.0591265,1.0772777,1.0,1.0
"Angola1216",1216,13.369,-8.582,"AGO",1.0808307,1.0591265,1.0772777,1.0,1.0
"Angola1217",1217,13.407,-8.658,"AGO",1.0808307,1.0591265,1.0772777,1.0,1.0
"Angola1218",1218,13.036,-8.979,"AGO",1.0808307,1.0591265,1.0772777,1.0,1.0
"Angola1219",1219,13.128,-9.317,"AGO",1.0872936,1.056787,1.0773557,1.0,1.0
"Angola1220",1220,13.141,-9.336,"AGO",1.0872936,1.056787,1.0773557,1.0,1.0
"Angola1221",1221,13.156,-9.373,"AGO",1.0872936,1.056787,1.0773557,1.0,1.0
"Angola1222",1222,13.218,-9.591,"AGO",1.0872936,1.056787,1.0773557,1.0,1.0
"Angola1223",1223,13.345,-10.014,"AGO",1.0825815,1.046917,1.068048,1.0,1.0
"Angola1224",1224,13.839,-10.929,"AGO",1.0825815,1.046917,1.068048,1.0,1.0
"Angola1225",1225,13.794,-11.772,"AGO",1.0877963,1.0451466,1.0780808,1.0,1.0
"Angola1226",1226,13.763,-11.94,"AGO",1.0877963,1.0451466,1.0780808,1.0,1.0
