seg,rgn,greenland,island,segID,rgnID
Canada5106,CAN,0,0,5106,18
Canada5115,CAN,0,0,5115,18
Canada5120,CAN,0,0,5120,18
Canada5132,CAN,0,0,5132,18
Canada5166,CAN,0,0,5166,18
Canada5167,CAN,0,0,5167,18
Canada5202,CAN,0,0,5202,18
Canada5168,CAN,0,0,5168,18
Canada5169,CAN,0,0,5169,18
Canada5171,CAN,0,0,5171,18
Canada5172,CAN,0,0,5172,18
Canada5173,CAN,0,0,5173,18
Canada5175,CAN,0,0,5175,18
Canada5177,CAN,0,0,5177,18
Canada5178,CAN,0,0,5178,18
Canada5179,CAN,0,0,5179,18
Canada5180,CAN,0,0,5180,18
Canada5181,CAN,0,0,5181,18
Canada5203,CAN,0,0,5203,18
Canada5204,CAN,0,0,5204,18
Canada5218,CAN,0,0,5218,18
Canada5221,CAN,0,0,5221,18
Canada5265,CAN,0,0,5265,18
Canada5266,CAN,0,0,5266,18
Canada5267,CAN,0,0,5267,18
Canada5268,CAN,0,0,5268,18
Canada5269,CAN,0,0,5269,18
Canada5270,CAN,0,0,5270,18
Canada5170,CAN,0,0,5170,18
Canada5353,CAN,0,0,5353,18
Canada5174,CAN,0,0,5174,18
Canada5176,CAN,0,0,5176,18
Canada5527,CAN,0,0,5527,18
Canada5691,CAN,0,0,5691,18
Canada7437,CAN,0,0,7437,18
Denmark7037,DNK,1,1,7037,33
Denmark7038,DNK,1,1,7038,33
Denmark7039,DNK,1,1,7039,33
Denmark7040,DNK,1,1,7040,33
Denmark7041,DNK,1,1,7041,33
Denmark7042,DNK,1,1,7042,33
Denmark7348,DNK,1,1,7348,33
Denmark7349,DNK,1,1,7349,33
Denmark7350,DNK,1,1,7350,33
Denmark7043,DNK,1,1,7043,33
Denmark7044,DNK,1,1,7044,33
Denmark7045,DNK,1,1,7045,33
Denmark7046,DNK,1,1,7046,33
Denmark7047,DNK,1,1,7047,33
Denmark7053,DNK,1,1,7053,33
Denmark7054,DNK,1,1,7054,33
Denmark7055,DNK,1,1,7055,33
Denmark7056,DNK,1,1,7056,33
Denmark7057,DNK,1,1,7057,33
Denmark7106,DNK,1,1,7106,33
Denmark7107,DNK,1,1,7107,33
Denmark7108,DNK,1,1,7108,33
Denmark7961,DNK,1,1,7961,33
