name,iso3,continent,patterns_area,patterns_gdp_2000,patterns_pop_2000,patterns_gdp_2100,patterns_pop_2100,scenario,source,source_id
Afghanistan,AFG,Eurasia,1.4690918922424316,1.473620891571045,1.4790928363800049,1.4794409275054932,1.4751983880996704,ssp1,BCC-CSM2-MR,1
Angola,AGO,Africa,1.0072065591812134,0.9611689448356628,0.9570316076278687,1.0130764245986938,0.9914840459823608,ssp1,BCC-CSM2-MR,1
Albania,ALB,Eurasia,1.366242527961731,1.35111403465271,1.3746535778045654,1.3329888582229614,1.3512861728668213,ssp1,BCC-CSM2-MR,1
United Arab Emirates,ARE,Eurasia,1.2002605199813843,1.1269760131835937,1.0980702638626099,1.0650180578231812,1.088032603263855,ssp1,BCC-CSM2-MR,1
Argentina,ARG,South America,0.9138851165771484,0.9180579781532288,0.9145815372467041,0.9021531343460083,0.9110366702079773,ssp1,BCC-CSM2-MR,1
Armenia,ARM,Eurasia,1.4321573972702026,1.4445815086364746,1.4478806257247925,1.4465330839157104,1.4464223384857178,ssp1,BCC-CSM2-MR,1
Fr. S. and Antarctic Lands,ATF,NA,0.7311030626296997,0.7311030626296997,0.7311030626296997,0.7311030626296997,0.7311030626296997,ssp1,BCC-CSM2-MR,1
Australia,AUS,Australia,1.0753815174102783,0.863430380821228,0.8428513407707214,0.8460686802864075,0.8585055470466614,ssp1,BCC-CSM2-MR,1
Austria,AUT,Eurasia,1.280133843421936,1.2843189239501953,1.2842284440994263,1.2830702066421509,1.2834839820861816,ssp1,BCC-CSM2-MR,1
Azerbaijan,AZE,Eurasia,1.2723978757858276,1.2638589143753052,1.2821877002716064,1.2745683193206787,1.2659144401550293,ssp1,BCC-CSM2-MR,1
Burundi,BDI,Africa,1.1823194026947021,1.1825811862945557,1.1788595914840698,1.1745003461837769,1.1739970445632935,ssp1,BCC-CSM2-MR,1
Belgium,BEL,Eurasia,0.9863608479499817,0.9629971981048584,0.9634808301925659,0.9584465622901917,0.9600512981414795,ssp1,BCC-CSM2-MR,1
Benin,BEN,Africa,1.1548610925674438,0.9338724613189697,0.9959220290184021,0.9968965649604797,1.0182678699493408,ssp1,BCC-CSM2-MR,1
Burkina Faso,BFA,Africa,1.3497027158737183,1.3786952495574951,1.381745457649231,1.3613070249557495,1.3584370613098145,ssp1,BCC-CSM2-MR,1
Bangladesh,BGD,Eurasia,1.1841305494308472,1.2330456972122192,1.234025001525879,1.2186108827590942,1.2186989784240723,ssp1,BCC-CSM2-MR,1
Bulgaria,BGR,Eurasia,1.3862789869308472,1.3877555131912231,1.389273762702942,1.3839880228042603,1.380064845085144,ssp1,BCC-CSM2-MR,1
Bahamas,BHS,South America,0.7499332427978516,0.7504735589027405,0.7504736185073853,0.7504730224609375,0.7504721879959106,ssp1,BCC-CSM2-MR,1
Bosnia and Herz.,BIH,Eurasia,1.386825442314148,1.3746671676635742,1.377058982849121,1.3675940036773682,1.3701835870742798,ssp1,BCC-CSM2-MR,1
Belarus,BLR,Eurasia,1.2057218551635742,1.1960153579711914,1.19599449634552,1.1965795755386353,1.1939259767532349,ssp1,BCC-CSM2-MR,1
Belize,BLZ,South America,0.930162250995636,0.710197925567627,0.8428886532783508,0.8631260991096497,0.887048602104187,ssp1,BCC-CSM2-MR,1
Bolivia,BOL,South America,1.349819540977478,1.2218338251113892,1.2231372594833374,1.2052034139633179,1.218000054359436,ssp1,BCC-CSM2-MR,1
Brazil,BRA,South America,1.3139276504516602,1.2057569026947021,1.200929045677185,1.1766324043273926,1.1939013004302979,ssp1,BCC-CSM2-MR,1
Brunei,BRN,Eurasia,0.8592550158500671,0.8218316435813904,0.8186727166175842,0.8225281238555908,0.8205698728561401,ssp1,BCC-CSM2-MR,1
Bhutan,BTN,Eurasia,1.1866909265518188,1.1917468309402466,1.1929556131362915,1.1797915697097778,1.181990623474121,ssp1,BCC-CSM2-MR,1
Botswana,BWA,Africa,1.3279229402542114,1.3120133876800537,1.3147094249725342,1.3081793785095215,1.3059587478637695,ssp1,BCC-CSM2-MR,1
Central African Rep.,CAF,Africa,1.1264418363571167,1.1165134906768799,1.1166783571243286,1.1221880912780762,1.124780535697937,ssp1,BCC-CSM2-MR,1
Canada,CAN,North America,2.0646965503692627,1.852089762687683,2.068922996520996,1.9971815347671509,2.0147900581359863,ssp1,BCC-CSM2-MR,1
Switzerland,CHE,Eurasia,1.2981070280075073,1.3100236654281616,1.3024863004684448,1.304705023765564,1.3014148473739624,ssp1,BCC-CSM2-MR,1
Chile,CHL,South America,0.8354079127311707,0.8881570100784302,0.8601071834564209,0.8679088354110718,0.8444439172744751,ssp1,BCC-CSM2-MR,1
China,CHN,Eurasia,1.3651288747787476,1.2677291631698608,1.2743675708770752,1.2425652742385864,1.2620079517364502,ssp1,BCC-CSM2-MR,1
Ivory Coast,CIV,Africa,1.148739218711853,0.953217625617981,1.0339311361312866,1.0375398397445679,1.0501679182052612,ssp1,BCC-CSM2-MR,1
Cameroon,CMR,Africa,1.1495071649551392,1.0822314023971558,1.0938924551010132,1.0806804895401,1.082676887512207,ssp1,BCC-CSM2-MR,1
Congo (Kinshasa),COD,Africa,1.0443146228790283,1.049702763557434,1.0403190851211548,1.0317598581314087,1.0296648740768433,ssp1,BCC-CSM2-MR,1
Congo (Brazzaville),COG,Africa,1.0261324644088745,1.0003249645233154,0.9858309030532837,0.9651880264282227,0.9687349796295166,ssp1,BCC-CSM2-MR,1
Colombia,COL,South America,1.346440076828003,1.1789060831069946,1.1530354022979736,1.129098653793335,1.1352311372756958,ssp1,BCC-CSM2-MR,1
Costa Rica,CRI,South America,0.7760591506958008,0.7534081339836121,0.7524814009666443,0.7547724843025208,0.7550497651100159,ssp1,BCC-CSM2-MR,1
Cuba,CUB,South America,0.789949357509613,0.7972058653831482,0.8112865090370178,0.7706596255302429,0.7782312035560608,ssp1,BCC-CSM2-MR,1
N. Cyprus,CYN,Eurasia,1.069881558418274,1.0680667161941528,1.0692176818847656,1.0701082944869995,1.0690611600875854,ssp1,BCC-CSM2-MR,1
