"time","T","trialnum"
1750,0.0053671258205,1
1751,0.04083757949908671,1
1752,0.0681327412238851,1
1753,0.08429359152351996,1
1754,0.09228093122125758,1
1755,0.09394821866882072,1
1756,0.07793754373349315,1
1757,0.06294277965754894,1
1758,0.0684554607824733,1
1759,0.08291555472689348,1
1760,0.09789271706403926,1
1761,0.10975306551283526,1
1762,0.057668780711487046,1
1763,-0.014456825765052306,1
1764,-0.023538704936297408,1
1765,0.0007283993284247768,1
1766,0.005282541863955789,1
1767,-0.011419702873119145,1
1768,-0.006136210062990375,1
1769,0.024336711473634493,1
1770,0.04906280588392828,1
1771,0.06515641189607063,1
1772,0.0825909012352585,1
1773,0.09747266921082577,1
1774,0.10605093159732554,1
1775,0.10952778906731496,1
1776,0.11027477104161995,1
1777,0.11041299190677638,1
1778,0.11271244168321365,1
1779,0.11926551138791851,1
1780,0.12831204537184265,1
1781,0.1363444189525753,1
1782,0.14113381329180447,1
1783,0.02401026335976083,1
1784,-0.28746047973531885,1
1785,-0.47183585402024564,1
1786,-0.4198388662331151,1
1787,-0.30981365486394113,1
1788,-0.1965193364206634,1
1789,-0.0980185293650036,1
1790,-0.021009127192097427,1
1791,0.03421130400010397,1
1792,0.07174411572762396,1
1793,0.09577588658467856,1
1794,0.10921370932214267,1
1795,0.1154829922712201,1
1796,0.10872346360687617,1
1797,0.08781813200159563,1
1798,0.07294293838720989,1
1799,0.07371897593023727,1
1800,0.08188295465952443,1
1801,0.09216476416809646,1
1802,0.10267336710814819,1
1803,0.11222960135026541,1
1804,0.12028503369199572,1
1805,0.12566715974711504,1
1806,0.12852293203034798,1
1807,0.12939523827568325,1
1808,0.1282048744294778,1
1809,-0.10806055261506249,1
1810,-0.40913380650261316,1
1811,-0.4497787129349619,1
1812,-0.3447731370544163,1
1813,-0.2239870034867585,1
1814,-0.12402151263319278,1
1815,-0.280072644408966,1
1816,-0.6545644942103717,1
1817,-0.7841325605066447,1
1818,-0.635961009654247,1
1819,-0.44454124177384585,1
1820,-0.28408326624475744,1
1821,-0.1720740848973321,1
1822,-0.09962846014952047,1
1823,-0.07225101022200883,1
1824,-0.05634818663234278,1
1825,-0.020501314520937418,1
1826,0.018201367675633146,1
1827,0.05137564765842214,1
1828,0.0765509636778231,1
1829,0.09417514667801677,1
1830,0.10544530114422876,1
1831,-0.04828794519083098,1
1832,-0.24795472194815632,1
1833,-0.2722674445301141,1
1834,-0.20059888791134153,1
1835,-0.2348647643529005,1
1836,-0.311220067657218,1
1837,-0.2721837586496282,1
1838,-0.17687550942198937,1
1839,-0.08780601248889022,1
1840,-0.020301942863358874,1
1841,0.026414465099206266,1
1842,0.05668748037045565,1
1843,0.07543337129060435,1
1844,0.08715305066435079,1
1845,0.09466874975445183,1
1846,0.08862262922090713,1
1847,0.07898020462048935,1
1848,0.08184535518518148,1
1849,0.09163057602654022,1
1850,0.10203856428227373,1
1851,0.110727970411009,1
1852,0.11698911949068327,1
1853,0.11017827173639114,1
1854,0.09293639052107866,1
1855,0.0871311917699648,1
1856,0.09127403727433132,1
1857,0.08414538177138645,1
1858,0.07949038031225093,1
1859,0.08989494507886811,1
1860,0.10369364849074104,1
1861,0.11062212649555632,1
1862,0.06326179802304319,1
1863,0.012195891903545013,1
1864,0.018111656958296155,1
1865,0.04611290534596764,1
1866,0.07352070532447988,1
1867,0.09501911476025002,1
1868,0.11096138365631657,1
1869,0.12378906892128713,1
1870,0.13388872754182238,1
1871,0.14197115259803442,1
1872,0.14813313528863595,1
1873,0.13743762336866416,1
1874,0.12581691431863642,1
1875,0.1263062754775722,1
1876,0.12773659880768395,1
1877,0.13182114544537202,1
1878,0.13805069284788965,1
1879,0.14337209769562395,1
1880,0.14509286996549642,1
1881,0.14566975130244378,1
1882,0.15021464936658663,1
1883,0.11407274685465565,1
1884,-0.032272366408996195,1
1885,-0.1319662450527363,1
1886,-0.1006884115971551,1
1887,-0.045424303452342926,1
1888,0.006364904422388135,1
1889,0.05422867624438249,1
1890,0.0796120729338058,1
1891,0.08074366088408694,1
1892,0.08854046526954407,1
1893,0.1143105449379112,1
1894,0.14066242650378485,1
1895,0.15911872961178236,1
1896,0.17054266314107502,1
1897,0.17702812450162447,1
1898,0.18093794934167884,1
1899,0.18288666601212747,1
1900,0.18360567597914185,1
1901,0.18424403727083474,1
1902,0.171345044933752,1
1903,0.10964113516076406,1
1904,0.05966348197596836,1
1905,0.07199201580964242,1
1906,0.10706251173100802,1
1907,0.127507804959319,1
1908,0.14026342123973135,1
1909,0.159660748418494,1
1910,0.17570977036382218,1
1911,0.18652266646259308,1
1912,0.15970157084711892,1
1913,0.11626462754376485,1
